shipment_id,carrier,route_miles,weather_delay,hub,delayed
1,B,53,0,D,1
2,A,27,0,A,0
3,B,36,0,C,1
4,C,5,0,C,0
5,C,37,0,B,1
6,A,48,1,A,1
7,D,54,1,B,1
8,C,16,0,D,0
9,D,10,0,A,0
10,A,52,1,C,1
11,C,58,1,C,1
12,B,51,0,A,1
13,B,30,1,D,0
14,C,50,1,D,1
15,B,55,1,C,1
16,A,30,0,B,0
17,D,36,1,A,1
18,D,13,1,B,0
19,D,3,0,B,0
20,D,1,1,C,0
21,A,16,0,B,0
22,B,45,1,C,1
23,B,32,1,A,0
24,C,28,1,A,0
25,D,10,0,B,0
26,A,17,1,D,0
27,B,32,1,B,0
28,A,8,0,A,0
29,A,8,1,D,0
30,D,35,1,A,1
31,B,6,0,A,0
32,B,49,0,D,1
33,C,37,1,A,1
34,D,56,0,D,1
35,B,47,0,A,1
36,D,32,0,C,0
37,A,54,0,D,1
38,A,2,1,A,0
39,B,22,0,C,0
40,C,42,0,D,1
41,A,54,0,A,1
42,C,40,1,C,1
43,B,26,1,A,0
44,D,21,1,C,0
45,A,5,1,B,0
46,A,23,0,C,0
47,C,4,1,C,0
48,A,37,0,C,1
49,B,7,0,B,0
50,B,24,1,B,0
51,A,1,1,D,0
52,C,56,0,D,1
53,C,10,0,C,0
54,D,1,0,A,0
55,C,47,1,D,1
56,D,11,0,B,0
57,B,25,0,B,0
58,B,13,1,C,0
59,C,22,1,C,0
60,A,46,1,B,1
61,A,37,1,C,1
62,A,49,0,C,1
63,D,7,1,C,0
64,B,3,0,D,0
65,B,45,0,C,1
66,C,38,1,B,1
67,D,9,1,C,0
68,A,17,1,A,0
69,B,43,1,D,1
70,A,13,0,C,0
71,D,15,1,D,0
72,A,28,1,C,0
73,B,13,0,A,0
74,A,48,1,A,1
75,B,38,1,A,1
76,C,27,0,D,0
77,C,38,1,A,1
78,D,56,1,C,1
79,C,36,1,C,1
80,A,13,1,B,0
81,D,16,1,D,0
82,B,11,0,A,0
83,C,2,1,B,0
84,D,35,0,B,1
85,C,29,1,C,0
86,C,35,0,A,0
87,C,36,1,A,1
88,B,57,0,A,1
89,D,41,0,C,1
90,C,30,1,C,0
91,B,24,0,B,0
92,D,45,1,D,1
93,B,18,0,D,0
94,A,19,1,D,0
95,D,17,0,C,0
96,A,39,0,A,1
97,A,51,1,C,1
98,B,6,0,C,0
99,B,26,1,C,0
100,B,38,1,A,1
101,C,24,1,D,0
102,B,23,1,A,0
103,B,11,1,D,0
104,D,14,0,D,0
105,C,1,1,C,0
106,D,9,1,A,0
107,C,30,1,D,0
108,A,53,0,C,1
109,B,20,1,D,0
110,A,1,1,D,0
111,B,10,0,C,0
112,B,41,0,D,1
113,B,30,1,C,0
114,D,31,1,B,0
115,B,19,0,C,0
116,B,19,1,A,0
117,C,53,0,A,1
118,C,19,0,C,0
119,B,44,1,D,1
120,D,33,1,D,0
121,A,58,0,D,1
122,C,14,0,A,0
123,C,44,0,A,1
124,A,56,0,A,1
125,D,4,0,B,0
126,A,45,1,A,1
127,C,28,1,D,0
128,D,40,0,D,1
129,B,54,1,B,1
130,D,39,1,D,1
131,C,39,1,C,1
132,C,47,1,D,1
133,B,10,1,C,0
134,A,15,0,A,0
135,C,59,1,D,1
136,C,4,1,C,0
137,D,34,1,B,0
138,B,35,1,B,1
139,B,15,0,D,0
140,D,16,0,A,0
141,D,47,0,D,1
142,A,45,0,B,1
143,A,31,1,D,0
144,D,15,1,A,0
145,C,5,0,B,0
146,A,56,0,A,1
147,B,35,0,D,0
148,B,18,1,B,0
149,C,41,0,A,1
150,B,23,1,C,0
151,A,13,0,A,0
152,B,42,1,B,1
153,B,31,1,A,0
154,D,18,0,B,0
155,B,56,1,B,1
156,C,9,1,C,0
157,C,54,0,A,1
158,A,59,1,D,1
159,B,24,1,C,0
160,D,57,0,D,1
