Date,Product_Category,Region,Customer_Segment,Sales,Quantity,Discount,Marketing_Spend,Profit,High_Performance
2019-01-01 16:58:07,Electronics,North,Small Business,246.0,2,0.29,1246.94,100.16,0
2019-01-01 19:37:20,Electronics,West,Corporate,766.4,4,0.1,2741.08,283.12,0
2019-01-03 06:56:15,Electronics,East,Consumer,461.84,10,0.07,2859.49,846.28,1
2019-01-04 03:30:36,Furniture,South,Small Business,327.34,2,0.05,1157.12,153.36,0
2019-01-06 04:32:25,Furniture,North,Small Business,242.89,14,0.19,1411.13,201.42,0
2019-01-06 04:49:55,Food,South,Small Business,41.02,9,0.07,1879.09,94.3,0
2019-01-07 03:05:25,Electronics,East,Corporate,695.06,14,0.22,638.91,771.9,1
2019-01-09 21:46:38,Furniture,North,Consumer,361.47,1,0.18,2219.91,71.49,0
2019-01-10 07:08:48,Furniture,West,Corporate,350.83,13,0.28,2522.1,981.84,1
2019-01-12 12:42:41,Furniture,West,Small Business,415.92,11,0.21,2861.74,526.71,1
2019-01-13 01:47:13,Food,South,Corporate,59.15,8,0.09,1597.21,112.57,0
2019-01-13 11:53:20,Clothing,East,Consumer,72.66,13,0.14,2161.98,225.76,0
2019-01-15 21:24:03,Food,South,Corporate,38.54,6,0.0,1488.66,20.79,0
2019-01-19 22:12:36,Office Supplies,North,Small Business,67.46,6,0.08,2500.26,47.9,0
2019-01-21 05:33:34,Furniture,North,Consumer,229.19,2,0.03,1447.75,96.97,0
2019-01-23 22:58:29,Clothing,West,Consumer,80.74,6,0.01,2640.23,82.64,0
2019-01-24 00:32:53,Office Supplies,South,Corporate,183.82,5,0.15,1649.47,167.57,0
2019-01-26 20:50:00,Electronics,South,Corporate,431.29,7,0.01,2507.77,454.23,1
2019-01-27 08:19:20,Clothing,East,Corporate,86.67,14,0.22,1230.18,142.83,0
2019-01-28 11:12:19,Office Supplies,West,Consumer,149.69,12,0.28,1971.28,116.12,0
2019-01-29 18:06:53,Food,North,Consumer,48.87,6,0.19,1714.31,58.73,0
2019-01-29 23:29:31,Clothing,South,Small Business,92.13,3,0.19,2530.29,26.26,0
2019-01-31 01:31:20,Clothing,North,Small Business,128.99,1,0.22,1054.3,16.97,0
2019-01-31 13:25:28,Clothing,North,Small Business,63.22,5,0.26,1984.64,47.05,0
2019-01-31 21:04:27,Food,West,Small Business,54.85,12,0.09,2541.86,165.18,0
2019-02-04 10:44:02,Office Supplies,East,Consumer,57.45,7,0.27,2045.83,70.69,0
2019-02-08 13:17:48,Clothing,West,Small Business,87.55,10,0.09,3029.09,56.82,0
2019-02-08 17:06:09,Clothing,North,Consumer,89.72,5,0.0,1800.83,28.68,0
2019-02-08 23:10:12,Electronics,North,Corporate,465.63,6,0.18,2948.02,391.49,1
2019-02-09 00:02:00,Food,North,Small Business,43.34,1,0.12,2032.06,10.82,0
2019-02-09 02:46:09,Clothing,South,Consumer,69.94,10,0.08,1840.21,169.4,0
2019-02-09 04:22:37,Clothing,South,Corporate,64.66,5,0.28,1282.99,26.91,0
2019-02-11 11:45:02,Food,North,Corporate,50.78,7,0.02,1443.27,52.7,0
2019-02-12 17:55:05,Clothing,North,Consumer,119.8,6,0.28,1526.36,118.22,0
2019-02-12 18:39:21,Furniture,West,Corporate,357.95,4,0.17,2817.1,345.29,1
2019-02-12 19:36:31,Food,West,Consumer,46.74,6,0.22,2655.43,33.25,0
2019-02-13 07:13:16,Office Supplies,West,Consumer,126.14,12,0.08,2272.62,242.83,0
2019-02-16 17:04:11,Clothing,South,Consumer,105.81,6,0.08,1442.36,169.83,0
2019-02-18 10:10:39,Food,South,Corporate,40.99,1,0.17,1341.37,3.21,0
2019-02-19 16:55:39,Electronics,North,Consumer,538.43,13,0.21,1205.73,980.35,1
2019-02-20 07:09:20,Clothing,West,Consumer,91.51,12,0.25,1369.8,132.25,0
2019-02-21 16:37:51,Electronics,East,Consumer,690.7,5,0.05,795.13,267.04,0
2019-02-22 07:56:13,Electronics,East,Corporate,522.71,14,0.05,2062.81,1881.61,1
2019-02-22 14:39:43,Clothing,West,Corporate,65.5,2,0.1,2893.27,17.59,0
2019-02-22 23:43:58,Furniture,West,Small Business,166.12,14,0.0,2792.46,430.95,1
2019-02-25 22:32:57,Office Supplies,West,Consumer,102.42,6,0.15,2421.16,41.39,0
2019-02-26 02:44:47,Furniture,South,Small Business,502.37,9,0.11,2297.64,610.05,1
2019-02-27 15:45:05,Food,East,Consumer,48.76,10,0.0,2094.1,130.1,0
2019-02-27 21:10:45,Furniture,East,Small Business,230.27,7,0.29,1342.64,259.71,0
2019-03-01 09:06:37,Office Supplies,South,Small Business,144.85,4,0.13,2442.74,140.21,0
2019-03-02 00:08:22,Furniture,East,Corporate,142.79,7,0.02,877.71,49.55,0
2019-03-04 14:44:21,Clothing,West,Corporate,72.96,11,0.19,2404.9,115.02,0
2019-03-06 09:01:07,Electronics,North,Consumer,514.39,2,0.14,1521.18,129.16,0
2019-03-07 10:37:17,Clothing,North,Small Business,76.97,14,0.05,1958.2,127.08,0
2019-03-07 16:18:39,Food,North,Small Business,67.02,6,0.15,1335.73,47.16,0
2019-03-09 17:59:44,Clothing,North,Consumer,74.65,5,0.02,2491.02,38.98,0
2019-03-13 18:24:06,Office Supplies,North,Small Business,38.42,13,0.01,2106.02,133.81,0
2019-03-14 17:51:28,Clothing,West,Corporate,70.43,5,0.24,2437.64,70.16,0
2019-03-15 03:28:27,Electronics,South,Consumer,494.94,1,0.0,1442.83,113.2,0
2019-03-16 02:53:23,Furniture,North,Small Business,379.6,7,0.25,2154.27,252.01,0
2019-03-17 09:00:40,Food,East,Corporate,48.46,10,0.14,2315.48,95.59,0
2019-03-19 01:58:28,Food,North,Consumer,40.69,3,0.2,2678.22,14.56,0
2019-03-24 12:35:44,Electronics,North,Corporate,273.46,11,0.21,2372.07,390.89,1
2019-03-24 14:13:49,Office Supplies,South,Corporate,102.51,8,0.18,1803.01,139.74,0
2019-03-28 10:40:10,Furniture,West,Corporate,291.58,12,0.27,1425.21,486.55,1
2019-03-30 14:21:49,Electronics,West,Consumer,151.82,10,0.16,1183.03,161.62,0
2019-03-31 12:21:42,Electronics,North,Corporate,324.61,1,0.02,1766.53,26.82,0
2019-04-02 07:02:19,Electronics,North,Small Business,737.79,7,0.08,2558.67,758.61,1
2019-04-03 06:16:19,Food,South,Small Business,50.21,6,0.18,757.21,63.23,0
2019-04-08 20:29:21,Electronics,North,Small Business,589.27,14,0.08,2073.11,529.25,1
2019-04-10 08:49:37,Food,South,Consumer,54.1,12,0.18,2001.52,77.32,0
2019-04-11 05:02:24,Food,West,Small Business,31.76,7,0.16,2331.84,30.16,0
2019-04-13 10:17:31,Office Supplies,East,Consumer,101.34,8,0.02,1570.89,219.37,0
2019-04-19 20:40:34,Office Supplies,North,Small Business,118.91,10,0.19,1391.7,213.26,0
2019-04-23 07:11:41,Office Supplies,North,Consumer,112.42,1,0.05,2392.87,7.92,0
2019-04-27 06:57:33,Clothing,South,Corporate,82.89,6,0.07,1209.65,48.3,0
2019-04-28 23:10:57,Office Supplies,North,Corporate,96.57,5,0.2,1677.21,22.64,0
2019-04-29 00:54:59,Office Supplies,South,Consumer,129.91,4,0.05,1334.83,99.09,0
2019-04-29 22:03:41,Food,West,Small Business,41.82,4,0.06,1753.19,46.43,0
2019-04-30 03:04:18,Clothing,West,Consumer,80.68,4,0.2,2214.76,21.56,0
2019-05-01 14:59:18,Clothing,North,Corporate,62.92,3,0.29,1985.02,17.5,0
2019-05-02 11:21:40,Clothing,South,Small Business,46.0,4,0.18,2002.7,19.74,0
2019-05-03 21:14:04,Furniture,North,Consumer,389.07,4,0.22,2422.9,305.13,0
2019-05-07 20:10:14,Clothing,East,Corporate,76.27,8,0.14,741.5,85.29,0
2019-05-07 23:25:23,Office Supplies,West,Corporate,192.79,7,0.02,3498.76,385.16,1
2019-05-08 03:54:28,Clothing,North,Small Business,102.62,7,0.16,2847.74,55.69,0
2019-05-11 21:49:12,Electronics,East,Consumer,475.38,8,0.17,2531.24,562.86,1
2019-05-12 02:10:37,Office Supplies,West,Corporate,194.83,2,0.16,1897.07,38.58,0
2019-05-12 20:32:46,Office Supplies,South,Consumer,58.47,11,0.01,1125.68,83.25,0
2019-05-13 18:36:01,Clothing,South,Consumer,66.74,12,0.17,1578.33,155.17,0
2019-05-14 04:11:45,Office Supplies,South,Corporate,137.66,6,0.27,1177.59,141.21,0
2019-05-14 16:58:11,Clothing,North,Consumer,49.86,9,0.1,2812.94,37.41,0
2019-05-15 08:44:36,Furniture,East,Small Business,227.47,12,0.08,1870.65,141.05,0
2019-05-16 15:41:17,Furniture,South,Consumer,360.02,5,0.24,1644.48,149.66,0
2019-05-16 17:18:18,Food,West,Consumer,52.4,14,0.22,1926.71,45.7,0
2019-05-22 03:33:46,Office Supplies,East,Corporate,136.07,14,0.28,2121.1,156.05,0
2019-05-24 21:09:55,Furniture,North,Corporate,419.02,8,0.23,2305.54,557.75,1
2019-05-25 17:07:27,Office Supplies,West,Consumer,169.92,11,0.14,1660.4,184.43,0
2019-05-28 01:43:55,Food,South,Consumer,44.99,6,0.11,1454.69,46.83,0
2019-05-28 05:07:22,Furniture,South,Small Business,314.12,5,0.12,968.27,149.41,0
2019-05-28 05:54:54,Electronics,North,Consumer,313.71,12,0.12,1999.52,411.16,1
2019-05-29 02:42:12,Office Supplies,South,Corporate,131.92,3,0.1,1660.22,22.5,0
2019-05-29 12:19:55,Office Supplies,North,Consumer,87.94,13,0.15,1947.47,52.4,0
2019-05-29 15:24:19,Electronics,North,Consumer,388.65,1,0.08,1996.9,62.68,0
2019-05-31 06:53:28,Food,West,Corporate,46.41,11,0.28,2423.05,24.89,0
2019-05-31 17:06:13,Furniture,East,Consumer,307.43,13,0.02,500.0,898.74,1
2019-05-31 17:25:04,Electronics,North,Corporate,606.06,6,0.09,2449.21,712.96,1
2019-06-02 15:07:57,Office Supplies,West,Corporate,113.04,8,0.23,1764.39,177.88,0
2019-06-02 23:34:08,Food,West,Corporate,36.64,6,0.13,1839.28,23.24,0
2019-06-04 02:38:12,Food,West,Small Business,59.63,9,0.23,2314.47,102.71,0
2019-06-05 21:42:17,Clothing,North,Consumer,88.24,2,0.15,2620.26,32.53,0
2019-06-06 00:24:14,Electronics,South,Small Business,792.53,13,0.02,1335.52,1086.22,1
2019-06-11 11:56:07,Clothing,West,Consumer,72.87,14,0.07,2166.07,274.16,0
2019-06-16 22:01:08,Clothing,South,Corporate,58.85,10,0.03,2126.93,112.51,0
2019-06-17 22:19:47,Clothing,East,Small Business,59.22,2,0.12,1177.69,13.85,0
2019-06-18 16:10:58,Furniture,North,Corporate,310.76,12,0.19,2105.83,353.05,1
2019-06-19 13:31:11,Office Supplies,West,Corporate,146.0,9,0.05,1775.79,187.07,0
2019-06-20 07:58:15,Electronics,East,Consumer,607.11,11,0.15,2316.78,969.45,1
2019-06-20 21:22:40,Furniture,South,Consumer,234.08,5,0.12,1032.07,221.54,0
2019-06-22 05:48:48,Food,South,Corporate,57.69,7,0.21,1767.93,51.41,0
2019-06-24 00:04:48,Furniture,South,Corporate,405.59,4,0.25,1297.95,264.42,0
2019-06-25 20:03:37,Electronics,South,Corporate,555.64,14,0.19,1410.7,1731.23,1
2019-06-28 11:37:20,Office Supplies,South,Consumer,169.79,1,0.23,1561.95,11.1,0
2019-07-03 01:00:28,Food,West,Corporate,50.74,1,0.01,1776.02,10.53,0
2019-07-04 00:47:56,Clothing,West,Consumer,68.83,4,0.3,1967.6,31.69,0
2019-07-05 14:53:47,Food,South,Corporate,57.13,3,0.04,1289.64,8.83,0
2019-07-10 05:05:43,Food,East,Small Business,45.11,13,0.11,1472.16,156.01,0
2019-07-14 15:16:09,Electronics,North,Consumer,473.87,8,0.19,1525.7,780.63,1
2019-07-14 23:16:04,Furniture,North,Consumer,424.57,8,0.05,2334.56,605.29,1
2019-07-15 03:51:10,Furniture,West,Corporate,262.46,9,0.0,2571.1,228.83,0
2019-07-15 10:54:54,Clothing,North,Consumer,106.21,9,0.24,2415.91,134.64,0
2019-07-15 23:59:40,Office Supplies,South,Consumer,78.73,13,0.26,1355.82,102.43,0
2019-07-16 05:23:51,Furniture,North,Small Business,268.99,2,0.3,1996.32,28.59,0
2019-07-17 02:11:48,Office Supplies,East,Small Business,114.16,13,0.09,1147.32,67.74,0
2019-07-20 08:34:12,Clothing,East,Corporate,89.87,11,0.26,2804.77,134.03,0
2019-07-23 00:35:37,Electronics,North,Consumer,453.26,4,0.19,1352.87,127.71,0
2019-07-23 08:19:47,Electronics,East,Corporate,550.47,14,0.28,1247.21,541.31,1
2019-07-25 10:46:04,Electronics,East,Small Business,709.4,11,0.12,2430.24,2058.47,1
2019-07-26 07:06:53,Furniture,South,Small Business,233.58,8,0.13,1330.25,482.22,1
2019-07-26 23:25:50,Food,South,Consumer,46.06,1,0.06,882.35,3.55,0
2019-07-31 19:01:57,Furniture,North,Small Business,359.42,6,0.24,1892.78,316.91,1
2019-08-07 11:40:37,Food,West,Small Business,48.63,14,0.22,1865.31,48.45,0
2019-08-07 15:46:48,Food,South,Consumer,68.87,4,0.23,1546.5,45.92,0
2019-08-08 19:39:43,Clothing,East,Small Business,78.52,4,0.04,1182.31,68.51,0
